id	selected_letter	surface	status	source	notes
p-base-pyzamo-y	p	pyžamo	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-ryba-y	r	ryba	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rybnik-y	r	rybník	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rybina-y	r	rybina	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rycat-y	r	ryčať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-ryk-y	r	ryk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rydzi-y	r	rýdzi	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rydzik-y	r	rýdzik	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-ryha-y	r	ryha	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rychly-y	r	rýchly	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-zrychlit-y	r	zrýchliť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-zrychlovat-y	r	zrýchľovať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rys-y	r	rys	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rysovat-y	r	rysovať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rysavy-y	r	ryšavý	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-ryt-y	r	ryť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rozryvat-y	r	rozrývať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-ryl-y	r	rýľ	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-uryvok-y	r	úryvok	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-poryv-y	r	poryv	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-bryzgat-y	r	brýzgať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-hryzt-y	r	hrýzť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-koryto-y	r	koryto	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-korytnacka-y	r	korytnačka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-korytnica-y	r	Korytnica	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-kryt-y	r	kryť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-skryt-y	r	skryť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-pokryt-y	r	pokryť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-pokryvka-y	r	pokrývka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-prikryt-y	r	prikryť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-prikryvka-y	r	prikrývka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-skrysa-y	r	skrýša	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-ukryt-y	r	úkryt	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-kryha-y	r	kryha	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-prystit-y	r	prýštiť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-stryko-y	r	strýko	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-stryc-y	r	strýc	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-stryna-y	r	stryná	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-tryznit-y	r	trýzniť	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-tryzna-y	r	tryzna	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-trysk-y	r	trysk	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-varyto-y	r	varyto	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rym-y	r	rým	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rymovat-sa-y	r	rýmovať sa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rypat-y	r	rýpať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-rytier-y	r	rytier	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-bryndza-y	r	bryndza	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
r-base-torysa-y	r	Torysa	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sychravy-y	s	sychravý	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sycat-y	s	syčať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sykat-y	s	sykať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sykavy-y	s	sykavý	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sykot-y	s	sykot	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sykorka-y	s	sýkorka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-syn-y	s	syn	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sypat-y	s	sypať	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-sypka-y	s	sýpka	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
s-base-osypky-y	s	osýpky	candidate	https://sk.wikipedia.org/wiki/Vybran%C3%A9_slov%C3%A1	basic-form selected word
